"","c..good.night.romance.eye.of.the.tiger.ufeff....jajajajajajajajajfufuufufuufufuufufuufufuufufuuuafufuuaufeff..."
"1419","pulgares arriba si usted está viendo en el mostrar menospulgares arriba si usted está viendo en el mostrar menospulgares arriba si usted está viendo en el mostrar menospulgares arriba si usted está viendo en el mostrar menospulgares arriba si usted está viendo en el mostrar menospulgares arriba si usted está viendo en el mostrar menospulgares arriba si usted está viendo en el mostrar menospulgares arriba si usted está viendo en el mostrar menospulgares arriba si usted está viendo en el mostrar menospulgares arriba si usted está viendo en el"
"1420","NA"
"1421","NA"
"1422","NA"
"1423","NA"
"1424","NA"
"1425","NA"
"1426","NA"
"1427","NA"
"1428","NA"
"1429","NA"
"1430","NA"
"1431","NA"
"1432","NA"
"1433","NA"
"1434","NA"
"1435","NA"
"1436","NA"
"1437","NA"
"1438","NA"
"1439","NA"
"1440","NA"
"1441","NA"
"1442","NA"
"1443","NA"
"1444","NA"
"1445","NA"
"1446","NA"
"1447","NA"
"1448","NA"
"1449","NA"
"1450","NA"
"1451","NA"
"1452","NA"
"1453","NA"
"1454","NA"
"1455","NA"
"1456","NA"
"1457","NA"
"1458","NA"
"1459","NA"
"1460","NA"
"1461","NA"
"1462","NA"
"1463","NA"
"1464","NA"
"1465","NA"
"1466","NA"
"1467","NA"
"1468","NA"
"1469","NA"
"1470","NA"
"1471","NA"
"1472","NA"
"1473","NA"
"1474","NA"
"1475","NA"
"1476","NA"
"1477","NA"
"1478","NA"
"1479","NA"
"1480","NA"
"1481","NA"
"1482","NA"
"1483","NA"
"1484","NA"
"1485","NA"
"1486","NA"
"1487","NA"
"1488","NA"
"1489","NA"
"1490","NA"
"1491","NA"
"1492","NA"
"1493","NA"
"1494","NA"
"1495","NA"
"1496","NA"
"1497","NA"
"1498","NA"
"1499","NA"
"1500","NA"
"1501","NA"
"1502","NA"
"1503","NA"
"1504","NA"
"1505","NA"
"1506","NA"
"1507","NA"
"1508","NA"
"1509","NA"
"1510","NA"
"1511","NA"
"1512","NA"
"1513","NA"
"1514","NA"
"1515","NA"
"1516","NA"
"1517","NA"
"1518","NA"
"1519","NA"
"1520","NA"
"1521","NA"
"1522","NA"
"1523","NA"
"1524","NA"
"1525","NA"
"1526","NA"
"1527","NA"
"1528","NA"
"1529","NA"
"1530","NA"
"1531","NA"
"1532","NA"
"1533","NA"
"1534","NA"
"1535","NA"
"1536","NA"
"1537","NA"
"1538","NA"
"1539","NA"
"1540","NA"
"1541","NA"
"1542","NA"
"1543","NA"
"1544","NA"
"1545","NA"
"1546","NA"
"1547","NA"
"1548","NA"
"1549","NA"
"1550","NA"
"1551","NA"
"1552","NA"
"1553","NA"
"1554","NA"
"1555","NA"
"1556","NA"
"1557","NA"
"1558","NA"
"1559","NA"
"1560","NA"
"1561","NA"
"1562","NA"
"1563","NA"
"1564","NA"
"1565","NA"
"1566","NA"
"1567","NA"
"1568","NA"
"1569","NA"
"1570","NA"
"1571","NA"
"1572","NA"
"1573","NA"
"1574","NA"
"1575","NA"
"1576","NA"
"1577","NA"
"1578","NA"
"1579","NA"
"1580","NA"
"1581","NA"
"1582","NA"
"1583","NA"
"1584","NA"
"1585","NA"
"1586","NA"
"1587","NA"
"1588","NA"
"1589","NA"
"1590","NA"
"1591","NA"
"1592","NA"
"1593","NA"
"1594","NA"
"1595","NA"
"1596","NA"
"1597","NA"
"1598","NA"
"1599","NA"
"1600","NA"
"1601","NA"
"1602","NA"
"1603","NA"
"1604","NA"
"1605","NA"
"1606","NA"
"1607","NA"
"1608","NA"
"1609","NA"
"1610","NA"
"1611","NA"
"1612","NA"
"1613","NA"
"1614","NA"
"1615","NA"
"1616","NA"
"1617","NA"
"1618","NA"
"1619","NA"
"1620","NA"
"1621","NA"
"1622","NA"
"1623","NA"
"1624","NA"
"1625","NA"
"1626","NA"
"1627","NA"
"1628","NA"
"1629","NA"
"1630","NA"
"1631","e"
"1632","vufeff"
"1633","jadoreufeff"
"1634","i sooooooooo wish i could meet her in person she seems so cool i would drop dead happylolufeff"
"1635","katy perry roar official httpyoutubecevxzvsjlkufeff"
"1636","tengo el ojo del tigre un luchador bailando sobre el fuego por que soy una campeona y me oiras rugir katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1637","uaubuuu ufeff"
"1638","jejejenmameslodaufeff"
"1639","katyperry roar you held me down but i got up ive had enough stopabuse million viewsufeff"
"1640","ufuueuuue uaubuuuufeff"
"1641","i ta muza przez ten tydzien rzadziufeff"
"1642","skvelýufeff"
"1643","katy u r amazing love the video ufeff"
"1644","lik lik fufuufufuufufuudufeff"
"1645","i love your songs katy perry ufeff"
"1646","you are so goodfufueub ufeff"
"1647","perfect fufuubbfufuubbufeff"
"1648","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1649","i love katy perryufeff"
"1650","legal ufeff"
"1651","i love katy perry ufeff"
"1652","i love katy perryufeff"
"1653","i love you katy perry fufuuafufuuaufeff"
"1654","good jop i love all her songsufeff"
"1655","çok güzelufeff"
"1656","katy perry roar official httpyoutubecevxzvsjlkufeff"
"1657","amooouuuuuuuuufeff"
"1658","roar or anacondaufeff"
"1659","i got the eye of the tiger ufeff"
"1660","thanks man and i was u arentufeff"
"1661","katys gots that leaf swag goin onufeff"
"1662","roarsomely fantastic video love it so muchufeff"
"1663","the things i would do katy perry lord have mercy on my damned soul hahaufeff"
"1664","i fufuua katy perryfufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuufufuuafufuuafufuuafufuuafufuuafufuudfufuudfufuudfufuudfufuubfufuubfufuubfufuubfufuuffufuuffufuuffufuuffufuufufuufufuufufuufufuuaafufuuaafufuuaafufuuaafufuuabfufuuabfufuuabfufuuabfufuuacfufuuacfufuuacfufuuacfufuuadfufuuadfufuuadfufuuadufeff"
"1665","kerenufeff"
"1666","amazingufeff"
"1667","cette chanson est coooooooooooooooooooooooooooooool ufeff"
"1668","that is so fake ufeff"
"1669","subscribe me plsufeff"
"1670","perryufeff"
"1671","te adorooo katy perruufeff"
"1672","katy perry taylor swiftufeff"
"1673","super teledysk ufeff"
"1674","katy perry roar official httpsyoutubecevxzvsjlkgrrrrrrrrrrr guauuuuuuufeff"
"1675","comment the most hate full thing in this vid ufeff"
"1676","always bad ass videosufeff"
"1677","yeah can i have thisthisthers with e tiger in is sow cuteufeff"
"1678","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1679","mama says that alligator is angry because he has all those teeth and no toothbrush ufeff"
"1680","uuuuueuu ufueuueudub ufeff"
"1681","nokia lumia rightufeff"
"1682","q lastima katy como vas a vender tu alma al diablo la verdad se me callo una idola ufeff"
"1683","es la megor mucica del mudo que e escuchado kety perry soy tu admiradora tramo ufeff"
"1684","me encantaufeff"
"1685","roarrrrrrrrrrufeff"
"1686","just jokkingufeff"
"1687","this video is not real right ufeff"
"1688","ufeff"
"1689","este video es lo máximo me guusto ufeff"
"1690","super catchy song dufeff"
"1691","learn your biology ufeff"
"1692","first of all where did you get the animals second capuchin monkeys and macaws live in south america and elephants tigers and hornbills live in southeast asiaufeff"
"1693","yesufeff"
"1694","dufeff"
"1695","what a fuking liar how could women beat tigers if they cant even get rid of a spiderufeff"
"1696","te best song ufeff"
"1697","love katy perry ufeff"
"1698","ya tiene rato esta cancion uu pero me gusta y solo queria ser popular y comentar hoy ufeff"
"1699","like if your watching in ufeff"
"1700","hufeff"
"1701","your clips are crazy but your voice omgufeff"
"1702","katy perry roar official httpyoutubecevxzvsjlkufeff"
"1703","i like roar and i like tigerufeff"
"1704","shes so fucking gorgeous ufeff"
"1705","katy perry you are good at singing ufeff"
"1706","why would she name the tiger kitty purryufeff"
"1707","ella es bellicimaufeff"
"1708","i love this songufeff"
"1709","shameless windows phone advertisementufeff"
"1710","perfect is a women perfect ufeff"
"1711","roarrrrrrrrrrrrrrrufeff"
"1712","this videos hilariousufeff"
"1713","katy perry youtube status most viewed videos of all time gangnam style baby dark horse m roar m wow she occupied consecutive spots thats really impressive cmon katycats lets make these videos billion before the month of may ends ufeff"
"1714","ses une de mes chanson préférerufeff"
"1715","this is somehow nice songufeff"
"1716","kafufuufufudubb ufeff"
"1717","me parece muy bien y me encanta ufeff"
"1718","sex menufeff"
"1719","hi like thisufeff"
"1720","i liked your videoufeff"
"1721","osea q pasa pola mente de las personas maltrato animal aber maltraseten ustedes a verdad solo porq no ablan los animales jajaja ojala q sepan q a los animales no se le maltrataufeff"
"1722","y escucho esta canción iufeff"
"1723","check out this video on youtubeufeff"
"1724","loved the fact that the tiger is named after her cat kitty purry queen katy fufuuufeff"
"1725","katie perry has a really nice natural rackwow just an observation ive madeufeff"
"1726","me encanta d ufeff"
"1727","she is so goodufeff"
"1728","check out this playlist on youtube a the first half and half a million times better than real first time since ive been waiting to get the hang out with a new phone case you want me too i think its time for a few weeks of a lookout to get a new song is so good i love the way ufeff"
"1729","you are so good at singing keep it upufeff"
"1730","good song but how do they cut out sceens without us knowingufeff"
"1731","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1732","lelufeff"
"1733","this song gives me goose bumps every time i love you katy perryufeff"
"1734","check out this video on youtubehmhufeff"
"1735","hello katycatsufeff"
"1736","i like katy perry but i like avril lavigne as well i think avril lavigne have a nice and soft voice than katy perry ufeff"
"1737","thumbs up if youre watching in ufeff"
"1738","cul musicufeff"
"1739","wowufeff"
"1740","your a champion your another hollywood vain and puffed up humanufeff"
"1741","god help kate perry with her trash lyrici kissed a girl and liked it i cannot believe that so many buy her trash music and make her rich while they get more poor fools do you know she is a con and a lie going to hell like the rest of themufeff"
"1742","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1743","amei ufeff"
"1744","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1745","anyone else agree that the beat was stolen from braveufeff"
"1746","me gusta tus canciones y te admiro dufeff"
"1747","this ones for all women for my young cousins and nieces and especially the ones named masha httpswwwyoutubecomwatchvcevxzvsjlkufeff"
"1748","schon lange kein solch schlechtes musik video gesehen nichts gegen katy perry nur gegen das videoufeff"
"1749","hay i keep seeing you on youtubeufeff"
"1750","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1751","i totally loveeeeeeeeeeeeeeeee this song so muchufeff"
"1752","ucudu ueuudueu uauuuuuufuuue uauuuu ufuuuu u uduueuc uaubuufu ueuuuduc ufueuueuu udu uauuue uaubuufufeff"
"1753","i love katy perry tu chante trop bien ufeff"
"1754","brakuje wiatru ufeff"
"1755","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1756","hello freinds sub me plzufeff"
"1757","sub me plzufeff"
"1758","ok this should cover me for the next years thumbs up if youre watching in ahh just subscribeufeff"
"1759","i love the song xcxc ufeff"
"1760","ilysm ufeff"
"1761","rooarfufuuafuufefuufeffufuudufeff"
"1762","fullufeff"
"1763","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1764","uuuuuuufeff"
"1765","check out this video on youtubeufeff"
"1766","best song ever ufeff"
"1767","es verdad lo q dice la cancion me encanta ufeff"
"1768","shes not sorry for the dude that died at the begginingufeff"
"1769","horrible u need to watcb n le a rnufeff"
"1770","what a dumb fukkinvideoufeff"
"1771","wowufeff"
"1772","yeah i will stand up for my beliefs periodufeff"
"1773","superufeff"
"1774","compares herself to a tiger says that shes louder than the lionufeff"
"1775","i love this song ~~~~ufeff"
"1776","perfect video katy perfect no comentufeff"
"1777","guys do not want to bother with advertising but if you look at my video with the launchpad and of my songs i ask you only a few minutes of your time thanks ufeff"
"1778","perfectufeff"
"1779","mendengarkan musik mengurangi rasa sakit hingga meringankan depresi hingga ufeff"
"1780","hola mi amor de mi de todas formas de pago de todasufeff"
"1781","so so bad booufeff"
"1782","i love that song lol nnnnnnnnoooooooottttttt ufeff"
"1783","lets try get this video to billionufeff"
"1784","dobrý ufeff"
"1785","yazik lan hayvana ruj süriyufeff"
"1786","rosnie nie katyperryteenagedreammixufeff"
"1787","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1788","uduu uuuua uuuuuuc ucufuauf uuuuauuuu best new facebook app download it now httpsplaygooglecomstoreappsdetailsidcomsmallerfacebooksocialdroid ufeff"
"1789","uduu uuuua uuuuuuc ucufuauf uuuuauuuu best new facebook app download it now httpsplaygooglecomstoreappsdetailsidcomsmallerfacebooksocialdroid ufeff"
"1790","roar n soar you can dance through the fire with the eye of the tiger someone i used to know did it literally danced across the fire and she was melodyufeff"
"1791","buao que critoufeff"
"1792","iufeff"
"1793","udue ududududfudududud ufeff"
"1794","like drink the belajarufeff"
"1795","por el amor de dios vaya tetasufeff"
"1796","d ufeff"
"1797","superufeff"
"1798","luv this song stopbullying staystrong ufeff"
"1799","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1800","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1801","pqp o ultima vez que assisti o vídeo tava com passou ate de firework ufeff"
"1802","well i can not say that i am a champion but i belive that its a good song for us women and especially for us middelaged and even if it could be more natural you can also see life as a saga ufeff"
"1803","so beautifulufeff"
"1804","check out this video on youtubeufeff"
"1805","i like to this katy parryvedioufeff"
"1806","es una cancion muy bonita yo la oigo siempre katy es siempre perfectaufeff"
"1807","perfect roar ufeff"
"1808","get money only applications with above and enter installed the code this is the code of two applications that you should try on android smartphone whaaf rewards enter this code ay popslide enter this code topn at the time of installationufeff"
"1809","so she never got rescue right ufeff"
"1810","you say lion but you have a tiger d but i love this song it sounds always so nice ufeff"
"1811","ueuedueueueueueueueueuedueueueueue youtubeufeff"
"1812","this song is fucking plagiarism of sara barailless song brave check it out your self if you didnt believe it brave come out firstufeff"
"1813","mix katy perry roar official httpwwwyoutubecomwatchvcevxzvsjlklistrdcevxzvsjlkufeff"
"1814","nézd meg ezt a videót a youtubeonufeff"
"1815","top of my favorite ufeff"
"1816","i love katy very muchufeff"
"1817","this bitch is trash dislikeufeff"
"1818","katy perry is one whoreufeff"
"1819","that poor tiger ufeff"
"1820","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1821","fuufeff"
"1822","katy perry a new wat you ware suffering wen you rote the song end your husband was a anything you are a singerufeff"
"1823","save all the tigers please especially in india and china they die for nothing everyday by stupid people who dont appreciate them as a beautiful creatures ufeff"
"1824","played it to her all the time lol dumb bitch never got itufeff"
"1825","id like to dedicate this to my exufeff"
"1826","the song your gonna hear me roar is cool ufeff"
"1827","nddkjedojkddjksmksjssj emekmeleklesklskemkeek mldmdmldmdsmeslem asselslmeleklkelekekl kdldklslslklklekelelkelel ojkeleekekekeekekek pmskspskekekekskl ufeff"
"1828","como lo dominasufeff"
"1829","megusta cuando dominas el leonufeff"
"1830","ufeff"
"1831","katy perry is beutiful im liked her songs ufeff"
"1832","holis comotanufeff"
"1833","love love love great song great vid great voiceufeff"
"1834","katy perry roar official httpyoutubecevxzvsjlkufeff"
"1835","this bitch is so fucking fine too bad she singing in witch language and i dont know what the fuck she is sayingufeff"
"1836","yes finally found this songat first i thought it was called eye of the tigerbut whenever i looked it upit didnt come d but nowi find thisyaaaaaaaaaaaaaaaaayufeff"
"1837","its beatifull song and beatifull ladyufeff"
"1838","tank you katy perry come to peruufeff"
"1839","i like itufeff"
"1840","i just came for her titsufeff"
"1841","roar enserio jajaja que chistosoufeff"
"1842","pooplpoopufeff"
"1843","she looks so prettyufeff"
"1844","shes the persons queenufeff"
"1845","it reminds me of karana in island of the blue dolphinsufeff"
"1846","hahah kitty purry katy parryufeff"
"1847","shes the best i love her songs ufeff"
"1848","ya son millonesla mejor sin duda ufeff"
"1849","greatufeff"
"1850","tiger is weeker than a lion but biggerufeff"
"1851","its a great a song ufeff"
"1852","mire a abajo y esciche todo me oiran rugir mas fuerte que un leonufeff"
"1853","wow stop my girlsufeff"
"1854","what do you whatufeff"
"1855","ohh girl soo hotufeff"
"1856","i love katy perry shes my fav lol xd ufeff"
"1857","beautifulufeff"
"1858","rawrroarufeff"
"1859","kety perry roar offffffffffffffffffffffffffffffffffffffffffffffffffffffffffufeff"
"1860","listening to this with a broken collarbone figure skater here in the middle of training my doubly toe ufeff"
"1861","love itufeff"
"1862","me gusta katyperry ufeff"
"1863","this is so close to billion viewssssssss omg oh btw its gonna be d first and first music vid with billion views and rst vid in world with billion views oo wowufeff"
"1864","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1865","hermosa music hermosa ufeff"
"1866","me gustaufeff"
"1867","katy perry ufeff"
"1868","i whatch that everday because i like it i love when she sing but i want to sing like her and i love when she do roar roar roar roar to the tigerufeff"
"1869","hi good morning ufeff"
"1870","good stuff from katyufeff"
"1871","louder than a lion why is there a tiger in the videoufeff"
"1872","take a look at this video on youtubetayla ufeff"
"1873","she is looking like a seeing pennis for first timeufeff"
"1874","so la mejor cati te kiero mucho lindaufeff"
"1875","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1876","chfufeff"
"1877","kittypurryufeff"
"1878","your songs are the meaning of my life they fill me with magic and forced to go ahead in spite of everything katy love youufeff"
"1879","its a nokia phoneufeff"
"1880","se denne playliste på youtubeufeff"
"1881","katy perry roar officialufeff"
"1882","hermoso este video roar ufeff"
"1883","the champion thats my girl ufeff"
"1884","guysis chainmail realufeff"
"1885","she looks deadly ufeff"
"1886","nisi sam ljubiš ti names blic gamesufeff"
"1887","ahahahhahaha yu heard right tim and katy for a one night stand on a mountain i used to be a dream maker this is the first sonh she sang and she sang all night and day as i tought her a few things now i dont know where the mountain went we made fire at the waterfront hilarious storyufeff"
"1888","katy ma copine lolufeff"
"1889","eu te amo leoaufeff"
"1890","me encantan tus canciones katty perry ufeff"
"1891","ufeff"
"1892","thumbs up if youre watching in i amufeff"
"1893","my name means in arabic lionso i love this song ufeff"
"1894","beatiful katy perryufeff"
"1895","httpswwwyoutubecomwatchvcevxzvsjlklistplwajwkzvjjacbahjqkremjlonbsoindex ufeff"
"1896","omgufeff"
"1897","fuck the policeufeff"
"1898","muito melhor que o michael jacksonufeff"
"1899","have a nice dayufeff"
"1900","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1901","have a nice dayufeff"
"1902","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1903","a chi non piace deve essere deficiente è una canzone stupendaufeff"
"1904","nice one guysufeff"
"1905","very niceufeff"
"1906","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1907","katy perry no necesita corona ni nada ella es la mejor con ariana grande ufeff"
"1908","wowufeff"
"1909","inscrevamse no meu canal ufeff"
"1910","nossa toop ufeff"
"1911","fufuuaffufuuaffufuuaffufuuaffufuuaffufuuaffufuuaffufuuaffufuuaffufuuaffufuuaf ufeff"
"1912","perfectufeff"
"1913","i love this song she has lots of talent well that is what i see from my point of view ufeff"
"1914","leuk mi takie duh duh ufeff"
"1915","top u ufeff"
"1916","ta en titt på denne videoen på youtubeufeff"
"1917","i used to bite my tongue and hold my breath scared to rock the boat and make a mess so i sat quietly agreed politely i guess that i forgot i had a choice i let you push me past the breaking point i stood for nothing so i fell for everything you held me down but i got up already brushing off the dust you hear my voice your hear that sound like thunder gonna shake your ground you held me down but i got up get ready cause i’ve had enough i see it all i see it now i got the eye of the tiger the fire dancing through the fire cause i am a champion and you’re gonna hear me roar louder louder than a lion cause i am a champion and you’re gonna hear me roar oh oh oh oh oh oh you’re gonna hear me roar now i’m floating like a butterfly stinging like a bee i earned my stripes i went from zero to my own hero you held me down but i got up already brushing off the dust you hear my voice your hear that sound like thunder gonna shake your ground you held me down but i got up get ready ’cause i’ve had enough i see it all i see it now i got the eye of the tiger the fire dancing through the fire ‘cause i am a champion and you’re gonna hear me roar louder louder than a lion ‘cause i am a champion and you’re gonna hear me roar oh oh oh oh oh oh you’re gonna hear me roar roaror roaror roaror i got the eye of the tiger the fire dancing through the fire ‘cause i am a champion and you’re gonna hear me roar louder louder than a lion ‘cause i am a champion and you’re gonna hear me roar oh oh oh oh oh oh you’re gonna hear me roar ufeff"
"1918","ich finde dises lied sehr schönufeff"
"1919","grammys grammys ufeff"
"1920","kiss my asas seus vistas não intendo nada ufeff"
"1921","you see sexy ufeff"
"1922","this is still being watched over and over and its not only because of the hot looking katy perry but it is actually an awesome song and awesome music video ufeff"
"1923","m likes yeeeeeeeees ufeff"
"1924","queen katy ufeff"
"1925","kevin hart lip sync xdufeff"
"1926","great song hear the loin roar thumbs up ufeff"
"1927","ufeff"
"1928","your the best singer everufeff"
"1929","i like your songsufeff"
"1930","i loved too nice songs ufeff"
"1931","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1932","roarufeff"
"1933","i love her songufeff"
"1934","ive always kind of liked the song but its such a very silly video nothing wrong with that it just makes me giggle at how overthetop it isufeff"
"1935","ya me la aprendi ke chida estaufeff"
"1936","gid jeg var så stærk som hende ligesom hendes stemme det er jeg ikke jeg vil gerne have min stemme bliver hørt så jeg elsker den sang det er lige som om jeg kan sige noget alt til den sang til min eks så kommer vi til den virkelighedens verden så tør jeg ikke mere elsker den sang så kan jeg lose kontrol over myself ufeff"
"1937","hgggghufeff"
"1938","so you have the eye of a tiger what original lyricsufeff"
"1939","i watch this because i like the animals and the amazing story it shows us all said noone everufeff"
"1940","katy euuuuuuuuuuuuuu te amoooooooo ufeff"
"1941","fuksufeff"
"1942","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"1943","katy perry roar official httpyoutubecevxzvsjlkufeff"
"1944","katy perry amazingufeff"
"1945","u uaufeff"
"1946","there should be a heavy metal version of this song im talkin to you five finger death punchufeff"
"1947","wonderfulufeff"
"1948","katy perry roar ufeff"
"1949","me encanta mucho esta cancion felicidades katty perry ufeff"
"1950","good not darc horseufeff"
"1951","love you katy ur so beautiful and talentedufeff"
"1952","me gusta mucho es cancion ufeff"
"1953","ablen en españolufeff"
"1954","fufuubrawr bitchesfufuubufeff"
"1955","ufeff"
"1956","quisiera salir entu cansionufeff"
"1957","best video ever fufuuaufeff"
"1958","i love your song carrie carrie thank you baking this song is for usufeff"
"1959","i would love for you is it so much carrie carrie your videos are so cool why i have to say that i just love your music i love your same like rotten like a tiger thank youufeff"
"1960","i love siri perry your music is so cool thanks me where our lifeufeff"
"1961","me enantaufeff"
"1962","es una pasada como queda el montaje del tigre cuando lo vaya se me pone la piel de gallina cada vez k la oigoufeff"
"1963","like if youre watching in ufeff"
"1964","se parece a nidalee de league of leguendsufeff"
"1965","amo a katyufeff"
"1966","eu adoro sua nusicaufeff"
"1967","roar it timeufeff"
"1968","katy perry roar official httpyoutubecevxzvsjlkufeff"
"1969","im here for learn english onlyufeff"
"1970","i love your music katy ufeff"
"1971","its the eye that all sees and feelsufeff"
"1972","damn the views m g katy u rule the worldufeff"
"1973","curioso verded como el chango le obedece a kati perrifufuudufeff"
"1974","que hermoso videoufeff"
"1975","ale guwnoufeff"
"1976","u u ucu u uufd u c uffa uce ufdu ufd u uef u ufeff"
"1977","i love katy and her songsfufuucfufuuufeff"
"1978","coolufeff"
"1979","i like the productionufeff"
"1980","give me likes for no reason ufeff"
"1981","i love this song its soooooooooo goodfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuud ps i am eddies daughterufeff"
"1982","gosto muito dessa músicaufeff"
"1983","im your nomber one fan you sing so nice you are the champion fufuuufeff"
"1984","like if you are watchings this just to see katys boobs dufeff"
"1985","we ufeff"
"1986","there we go finally ufeff"
"1987","ccxbh by hcucchuchcuchcucchjshfkaty perry roar official httpsyoutubecevxzvsjlkufeff"
"1988","hiufeff"
"1989","lolufeff"
"1990","someone ate some really bad garlic in the jungle poor tiger ufeff"
"1991","haha trazan wife fufuucufeff"
"1992","how do these animals sleep ufeff"
"1993","vvveerrryyyyyy nnnnnniiiiicccceeeufeff"
"1994","adoro essa musicaufeff"
"1995","i love thisufeff"
"1996","its a cool song but old i like the song ufeff"
"1997","amei esse vídeo sou sua fã katy perryufeff"
"1998","amei esse vídeo sou sua fã katy perryufeff"
"1999","i love thisfufuu girl poweruufefuufefuufefufeff"
"2000","i love this song ufeff"
"2001","me encanta la canción soi su fanufeff"
"2002","niceufeff"
"2003","your so talentedufeff"
"2004","te amoooo desde venezuelaufeff"
"2005","katy perry roar official ufeff"
"2006","é legalufeff"
"2007","hey man ufeff"
"2008","httpswwwyoutubecomwatchvcevxzvsjlklistrdksomaqbuindexufeff"
"2009","e bunufeff"
"2010","dude i almost died laughing when the tiger attacked that guy it just came out of nowhere and mauled himufeff"
"2011","katy sua diva ufeff"
"2012","ufeff"
"2013","gufeff"
"2014","likes ufeff"
"2015","this song katty perry l love and shes pretty like ufeff"
"2016","roar by katy perry wow these guys are confident ufeff"
"2017","lidaufeff"
"2018","i i love you like a love songufeff"
"2019","amei minha música preferida ufeff"
"2020","that look so raelufeff"
"2021","i love animals and i will be like her wene i groe up and i think that she is tazan or tazan girlufeff"
"2022","she is perfecty and beautifulufeff"
"2023","fcch dr fffhgggggdhhfggfrgggfrittata handstandufeff"
"2024","so beautyfuly donethis lady is the real dealufeff"
"2025","like subscribe if you are watching in dont forget me ufeff"
"2026","udueuuc ufuuudufufeff"
"2027","love this video ur really brave katyufeff"
"2028","katy perry is my favorite singerfufuuufeff"
"2029","ubucdeufuaueubueuebudubcucufudueudeuuufeff"
"2030","psy gangnam style justin bieber baby katy perry dark horse katy perry roar of the top most watched youtube videos are form katy perry so its official the kitty cats rule the worldufeff"
"2031","fantascitufeff"
"2032","muito legal gosteiufeff"
"2033","kitty purry are you fucking kidding meufeff"
"2034","nossa é muito legal esse vídeoufeff"
"2035","omg i luv her awesome sonfufeff"
"2036","httpwwwgofundmecombradybarnesufeff"
"2037","worst scream everufeff"
"2038","katty perry nidalee ufeff"
"2039","she is so fucking beautifulufeff"
"2040","i bet katys asshole is like huge o ufeff"
"2041","katys eyes so beautiful my eyes are blue tooufeff"
"2042","the world is going nuts this is a stupid ass song wtf is wrong with you people do you all need help are you all sick in the head the top most viewed videos on youtube just prove that humans are just so fcking dumbufeff"
"2043","tuyuect vuedditôi thích videolueddi bài hát nàygoodufeff"
"2044","luv this songufeff"
"2045","bem legalufeff"
"2046","roar ufeff"
"2047","çok güzelufeff"
"2048","like love katy peerry roar officialufeff"
"2049","i love your song katy perryufeff"
"2050","nice ufeff"
"2051","nice boobs ufeff"
"2052","show essa mulher ufeff"
"2053","es el millo vidio que vistufeff"
"2054","mencantaufeff"
"2055","i love you katy my queen ufeff"
"2056","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"2057","hear me roar kate perry lannister why notufeff"
"2058","vbbgfufeff"
"2059","i do not know what about you but i myself have a very good respect for independent musicians like those dudes watchvhhtzuykwuw fantastic it is youtube and experience real musicufeff"
"2060","awesomeufeff"
"2061","this song always reminded of the movie romancing the stone ufeff"
"2062","hello jécoute roar trop bien lexpérience ufeff"
"2063","imi place mult de tine katy perriufeff"
"2064","httpwwwgofundmecomhelpavettoday help a vetufeff"
"2065","hello everyone we are two sisters veronika and sofia and we absolutely love acting and dancing we made a documentary film about us growing up with dancing and acting and we would really appreciate it if someone would want to see it like comment or subscribe we also made a trailer to it if someone would want to see xoxoufeff"
"2066","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"2067","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"2068","my cousininlaws cousins boyfriend is the guy in the videoufeff"
"2069","you rock you roar love the song specially when you roar in front of the tiger love you ufeff"
"2070","best song ever love it favorite singer your the bestufeff"
"2071","im very proud she could have those spiders crawling on her ufeff"
"2072","chow katty perryufeff"
"2073","this is a cool sing but omg it sounds a lot like sarahs song braveufeff"
"2074","tiger is the king of the jungle she is the queen of musicufeff"
"2075","katy perryufeff"
"2076","whats wrong with biting your tongue being polite and quiet this world has enough loud obnoxious people who are selfdeluded into thinking theyre a champion really have you won any competitionsufeff"
